"id","linnworks_code","product_name","category","supplier","invoice_currency","landed_price_gbp","sp1_value_gbp","sp2_value_gbp","sp3_value_gbp","sale_price_gbp","landed_price_eur","sp1_value_eur","sp2_value_eur","sp3_value_eur","sale_price_euro","import_dates","error"
"6429","KMELECUS-45","Kylie Minogue - Eleanora - Filled Cushion - 45 x 45 cm (BS1109)","Bed Linen - Local/Discontinued","DISCONTINUED","GBP","0","0","0","0",,"0","0","0","0",,,
"6430","KMELEPC-65","Kylie Minogue - Eleanora - Pillowcase - 65 x 65 cm (BS1107)","Bed Linen - Local/Discontinued","DISCONTINUED","GBP","0","0","0","0",,"0","0","0","0",,,
"6431","KMELEPC-STD","Kylie Minogue - Eleanora - Pillowcase - Standard (BS1108)","Bed Linen - Local/Discontinued","DISCONTINUED","GBP","0","0","0","0",,"0","0","0","0",,,
"6432","KMELEQC-D","Kylie Minogue - Eleanora - Quilt Cover - Double (BS1106B)","Bed Linen - Local/Discontinued","DISCONTINUED","GBP","0","0","0","0",,"0","0","0","0",,,
"6433","KMELEQC-K","Kylie Minogue - Eleanora - Quilt Cover - King (BS1106C)","Bed Linen - Local/Discontinued","DISCONTINUED","GBP","0","0","0","0",,"0","0","0","0",,,
"6434","KMELEQC-S","Kylie Minogue - Eleanora - Quilt Cover - Single (BS1106A)","Bed Linen - Local/Discontinued","DISCONTINUED","GBP","0","0","0","0",,"0","0","0","0",,,
"6435","KMELEQC-SK","Kylie Minogue - Eleanora - Quilt Cover - Super King (BS1106D)","Bed Linen - Local/Discontinued","DISCONTINUED","GBP","0","0","0","0",,"0","0","0","0",,,
"6436","KMELERUNNER","Kylie Minogue - Eleanora - Runner - 45 x 225 cm (BS1110)","Bed Linen - Local/Discontinued","DISCONTINUED","GBP","0","0","0","0",,"0","0","0","0",,,
"6437","KMESCURSIL-6654","Kylie Minogue - Esta - Silver - Curtain Pair - Eyelet - 168 x 137 cm (66 x 54"") (BS1289A)","Bed Linen - Local/Discontinued","ASHLEYW","GBP","0","0","0","0",,"0","0","0","0",,,
"6438","KMESCURSIL-6672","Kylie Minogue - Esta - Silver - Curtain Pair - Eyelet - 168 x 183 cm (66 x 72"") (BS1289B)","Bed Linen - Local/Discontinued","ASHLEYW","GBP","0","0","0","0",,"0","0","0","0",,,
"6439","KMESCURSIL-6690","Kylie Minogue - Esta - Silver - Curtain Pair - Eyelet - 168 x 229 cm (66 x 90"") (BS1289C)","Bed Linen - Local/Discontinued","ASHLEYW","GBP","0","0","0","0",,"0","0","0","0",,,
"6440","KMESCURSIL-9072","Kylie Minogue - Esta - Silver - Curtain Pair - Eyelet - 229 x 183 cm (90 x 72"") (BS1289D)","Bed Linen - Local/Discontinued","ASHLEYW","GBP","0","0","0","0",,"0","0","0","0",,,
"6441","KMESCURSIL-9090","Kylie Minogue - Esta - Silver - Curtain Pair - Eyelet - 229 x 229 cm (90 x 90"") (BS1289E)","Bed Linen - Local/Discontinued","ASHLEYW","GBP","0","0","0","0",,"0","0","0","0",,,
"6442","HS-RIO036DKBE100","Rio - Frise Rug - Floral - Dark Beige - 100 x 150 cm (RU1251A)","Rugs/Discontinued","PHARMORE","GBP","0","0","0","0",,"0","0","0","0",,,
"6443","HS-RIO036DKBE150","Rio - Frise Rug - Floral - Dark Beige - 150 x 210 cm (RU1251B)","Rugs/Discontinued","PHARMORE","GBP","0","0","0","0",,"0","0","0","0",,,
