"id","linnworks_code","product_name","category","supplier","invoice_currency","landed_price_gbp","sp1_value_gbp","sp2_value_gbp","sp3_value_gbp","sale_price_gbp","landed_price_eur","sp1_value_eur","sp2_value_eur","sp3_value_eur","sale_price_euro","import_dates","error"
"2","BS-BELL-BLK","Bar Stool - Bell - Black (FR1389)","Bar Stools","CUTSNCUR","EUR","28.19","63.43","70.48","98.67","64.99","31.68","79.19","87.11","118.78",,,"This Price update for sku"
"3","BS-BRU-BLK","Bar Stool - Brunel - Black (FR1382)","Furniture/Discontinued","CUTSNCUR","EUR","25","56.25","62.49","87.49","59.99","28.09","70.22","77.24","105.33",,,
"4","BS-BRU-RED","Bar Stool - Brunel - Red (FR1384)","Furniture/Discontinued","CUTSNCUR","EUR","25","56.25","62.49","87.49","59.99","28.09","70.22","77.24","105.33",,,
"5","BS-BRU-SGRY","Bar Stool - Brunel - Silver Grey (FR1385)","Furniture/Discontinued","CUTSNCUR","EUR","25.34","57.02","63.36","88.7","59.99","28.48","71.19","78.31","106.78",,,
"6","BS-BRU-WHT","Bar Stool - Brunel - White (FR1383)","Furniture/Discontinued","CUTSNCUR","EUR","25","56.25","62.49","87.49","59.99","28.09","70.22","77.24","105.33",,,
"7","BS-COO-BLK","Bar Stool - Cooper - Black (FR1377)","Furniture/Discontinued","CUTSNCUR","EUR","30.48","68.59","76.21","106.69","79.99","34.25","85.63","94.19","128.44",,,
"8","BS-COO-SGRY","Bar Stool - Cooper - Silver Grey (FR1378)","Furniture/Discontinued","CUTSNCUR","EUR","30.48","68.59","76.21","106.69","79.99","34.25","85.63","94.19","128.44",,,
"9","BS-ERN-BLK","Bar Stool - Ernest - Black (FR1391)","Bar Stools","CUTSNCUR","EUR","37.08","83.43","92.7","129.78","94.99","41.66","104.16","114.57","156.23",,,
"10","BS-ERN-BLU","Bar Stool - Ernest - Blue (FR1393)","Bar Stools","CUTSNCUR","EUR","38.86","87.43","97.15","136.01","94.99","43.66","109.16","120.07","163.73",,,
"11","BS-ERN-GRY","Bar Stool - Ernest - Grey (FR1395)","Bar Stools","CUTSNCUR","EUR","37.08","83.43","92.7","129.78","94.99","41.66","104.16","114.57","156.23",,,
"12","BS-ERN-RED","Bar Stool - Ernest - Red (FR1392)","Furniture/Discontinued","CUTSNCUR","EUR","37.08","83.43","92.7","129.78","94.99","41.66","104.16","114.57","156.23",,,
"13","BS-ERN-WHT","Bar Stool - Ernest - White (FR1390)","Bar Stools","CUTSNCUR","EUR","37.08","83.43","92.7","129.78","94.99","41.66","104.16","114.57","156.23",,,
"14","BS-ERN-YELL","Bar Stool - Ernest - Yellow (FR1394)","Bar Stools","CUTSNCUR","EUR","37.08","83.43","92.7","129.78","94.99","41.66","104.16","114.57","156.23",,,
"15","BS-FRA-BLK","Bar Stool - Franklin - Black (FR1403)","Furniture/Discontinued","CUTSNCUR","EUR","34.29","77.15","85.72","120.01","94.99","38.53","96.31","105.94","144.47",,,
"16","BS-JEN-OAK","Bar Stool - Jens - Oak (FR1386)","Furniture/Discontinued","CUTSNCUR","EUR","37.58","84.56","93.95","131.53","94.99","42.23","105.56","116.12","158.34",,,
"17","BS-MAX-BLK","Bar Stool - Maxwell - Black (FR1379)","Furniture/Discontinued","CUTSNCUR","EUR","39.86","89.69","99.65","139.51","89.99","44.79","111.97","123.17","167.95",,,
"18","BS-MAX-RED","Bar Stool - Maxwell - Red (FR1380)","Furniture/Discontinued","CUTSNCUR","EUR","39.86","89.69","99.65","139.51","89.99","44.79","111.97","123.17","167.95",,,
"19","BS-MAX-SGRY","Bar Stool - Maxwell - Silver Grey (FR1381)","Furniture/Discontinued","CUTSNCUR","EUR","39.86","89.69","99.65","139.51","89.99","44.79","111.97","123.17","167.95",,,
"20","BS-NEL-OAK","Bar Stool - Nelson - Oak (FR1376)","Furniture/Discontinued","CUTSNCUR","EUR","34.9","78.52","87.25","122.15","89.99","39.21","98.03","107.83","147.05",,,
"21","BS-PIE-BLK","Bar Stool - Piet - Black (FR1398)","Bar Stools","CUTSNCUR","EUR","35.05","78.87","87.64","122.69","84.99","39.39","98.47","108.32","147.7",,,
"22","BS-PIE-BLU","Bar Stool - Piet - Blue (FR1396)","Bar Stools","CUTSNCUR","EUR","36.56","82.25","91.39","127.95","84.99","41.08","102.69","112.96","154.03",,,
"23","BS-PIE-GRN","Bar Stool - Piet - Green (FR1402)","Bar Stools","CUTSNCUR","EUR","35.05","78.87","87.64","122.69","84.99","39.39","98.47","108.32","147.7",,,
"24","BS-PIE-GRY","Bar Stool - Piet - Grey (FR1399)","Bar Stools","CUTSNCUR","EUR","35.05","78.87","87.64","122.69","84.99","39.39","98.47","108.32","147.7",,,
"25","BS-PIE-RED","Bar Stool - Piet - Red (FR1400)","Bar Stools","CUTSNCUR","EUR","36.56","82.25","91.39","127.95","84.99","41.08","102.69","112.96","154.03",,,
"26","BS-PIE-WHT","Bar Stool - Piet - White (FR1397)","Bar Stools","CUTSNCUR","EUR","36.56","82.25","91.39","127.95","84.99","41.08","102.69","112.96","154.03",,,
"27","BS-PIE-YELL","Bar Stool - Piet - Yellow (FR1401)","Bar Stools","CUTSNCUR","EUR","36.56","82.25","91.39","127.95","84.99","41.08","102.69","112.96","154.03",,,
"28","BMCHKBDRAUB","Check Border - Aubergine - Bath Mat - 45x75cm (BT1106A)","Bath - Mats","THREEANG","GBP","2.93","6.58","7.31","10.24","7.99","3.28","8.19","9.01","12.29","10.99",,
"29","BM2PCHKBDRAUB","Check border - Aubergine - Bath Mat and Pedestal Set (BT1106D)","Bath - Mats","THREEANG","GBP","5.27","11.85","13.16","18.43","11.99","5.9","14.74","16.22","22.11","15.99",,
"30","BMPCHKBDRAUB","Check Border - Aubergine - Pedestal Mat (BT1106B)","Bath - Mats","THREEANG","GBP","2.28","5.13","5.7","7.99","4.99","2.56","6.39","7.03","9.58","6.99",,
"31","BMSCHKBDRAUB","Check Border - Aubergine - Shower Mat (BT1106C)","Bath - Mats","THREEANG","GBP","2.34","5.27","5.85","8.19","4.99","2.62","6.55","7.21","9.83","6.99",,
"32","BMCHKBDRBLK","Check Border - Black - Bath Mat - 45x75cm (BT1107A)","Bath - Mats","THREEANG","GBP","3.39","7.63","8.48","11.88","7.99","3.8","9.5","10.45","14.25","10.99",,
"33","BM2PCHKBDRBLK","Check border - Black - Bath Mat and Pedestal Set (BT1107D)","Bath - Mats","THREEANG","GBP","5.27","11.85","13.16","18.43","11.99","5.9","14.74","16.22","22.11","15.99",,
"34","BMPCHKBDRBLK","Check Border - Black - Pedestal Mat (BT1107B)","Bath - Mats","THREEANG","GBP","2.22","5","5.56","7.78","4.99","2.49","6.22","6.85","9.34","6.99",,
"35","BMSCHKBDRBLK","Check Border - Black - Shower Mat (BT1107C)","Bath - Mats","THREEANG","GBP","2.11","4.74","5.27","7.37","4.99","2.36","5.9","6.49","8.85","6.99",,
"36","BMCHKBDRBLU","Check Border - Blue - Bath Mat - 45x75cm (BT1108A)","Bath - Mats","THREEANG","GBP","0","0","0","0","7.99","0","0","0","0","10.99",,
"37","BM2PCHKBDRBLU","Check border - Blue - Bath Mat and Pedestal Set (BT1108D)","Bath - Mats","THREEANG","GBP","5.27","11.85","13.16","18.43","11.99","5.9","14.74","16.22","22.11","15.99",,
"38","BMPCHKBDRBLU","Check Border - Blue - Pedestal Mat (BT1108B)","Bath - Mats","THREEANG","GBP","2.22","5","5.56","7.78","4.99","2.49","6.22","6.85","9.34","6.99",,
"39","BMSCHKBDRBLU","Check Border - Blue - Shower Mat (BT1108C)","Bath - Mats","THREEANG","GBP","2.11","4.74","5.27","7.37","4.99","2.36","5.9","6.49","8.85","6.99",,
"40","BMCHKBDRCER","Check Border - Cerise - Bath Mat - 45x75cm (BT1109A)","Bath - Mats","THREEANG","GBP","4.68","10.53","11.7","16.38","7.99","5.24","13.1","14.41","19.66","10.99",,
"41","BM2PCHKBDRCER","Check border - Cerise - Bath Mat and Pedestal Set (BT1109D)","Bath - Mats","THREEANG","GBP","4.27","9.61","10.68","14.95","11.99","4.78","11.96","13.15","17.94","15.99",,
"42","BMPCHKBDRCER","Check Border - Cerise - Pedestal Mat (BT1109B)","Bath - Mats","THREEANG","GBP","2.22","5","5.56","7.78","4.99","2.49","6.22","6.85","9.34","6.99",,
"43","BMSCHKBDRCER","Check Border - Cerise - Shower Mat (BT1109C)","Bath - Mats","THREEANG","GBP","0","0","0","0","4.99","0","0","0","0","6.99",,
"44","BMCHKBDRCHO","Check Border - Chocolate - Bath Mat - 45x75cm (BT1110A)","Bath - Mats","THREEANG","GBP","3.39","7.63","8.48","11.88","7.99","3.8","9.5","10.45","14.25","10.99",,
"45","BM2PCHKBDRCHO","Check border - Chocolate - Bath Mat and Pedestal Set (BT1110D)","Bath - Mats","THREEANG","GBP","5.27","11.85","13.16","18.43","11.99","5.9","14.74","16.22","22.11","15.99",,
"46","BMPCHKBDRCHO","Check Border - Chocolate - Pedestal Mat (BT1110B)","Bath - Mats","THREEANG","GBP","1.99","4.48","4.97","6.96","4.99","2.23","5.57","6.13","8.35","6.99",,
"47","BMSCHKBDRCHO","Check Border - Chocolate - Shower Mat (BT1110C)","Bath - Mats","THREEANG","GBP","2.46","5.53","6.14","8.6","4.99","2.75","6.88","7.57","10.32","6.99",,
"48","BMCHKBDRGRN","Check Border - Fern Green - Bath Mat - 45x75cm (BT1111A)","Bath - Mats","THREEANG","GBP","2.75","6.19","6.87","9.62","7.99","3.08","7.7","8.47","11.55","10.99",,
"49","BM2PCHKBDRGRN","Check border - Fern Green - Bath Mat and Pedestal Set (BT1111D)","Bath - Mats","THREEANG","GBP","4.56","10.27","11.41","15.97","11.99","5.11","12.78","14.05","19.16","15.99",,
"50","BMPCHKBDRGRN","Check Border - Fern Green - Pedestal Mat (BT1111B)","Bath - Mats","THREEANG","GBP","1.99","4.48","4.97","6.96","4.99","2.23","5.57","6.13","8.35","6.99",,
"51","BMSCHKBDRGRN","Check Border - Fern Green - Shower Mat (BT1111C)","Bath - Mats","THREEANG","GBP","2.34","5.27","5.85","8.19","4.99","2.62","6.55","7.21","9.83","6.99",,
"52","BMCHKBDRNAT","Check Border - Natural - Bath Mat - 45x75cm (BT1112A)","Bath - Mats","THREEANG","GBP","3.39","7.63","8.48","11.88","7.99","3.8","9.5","10.45","14.25","10.99",,
"53","BM2PCHKBDRNAT","Check border - Natural - Bath Mat and Pedestal Set (BT1112D)","Bath - Mats","THREEANG","GBP","5.27","11.85","13.16","18.43","11.99","5.9","14.74","16.22","22.11","15.99",,
"54","BMPCHKBDRNAT","Check Border - Natural - Pedestal Mat (BT1112B)","Bath - Mats","THREEANG","GBP","1.99","4.48","4.97","6.96","4.99","2.23","5.57","6.13","8.35","6.99",,
"55","BMSCHKBDRNAT","Check Border - Natural - Shower Mat (BT1112C)","Bath - Mats","THREEANG","GBP","2.16","4.87","5.41","7.58","4.99","2.42","6.06","6.67","9.09","6.99",,
"56","BMCHKBDRPNK","Check Border - Pink - Bath Mat - 45x75cm (BT1113A)","Bath - Mats","THREEANG","GBP","3.39","7.63","8.48","11.88","7.99","3.8","9.5","10.45","14.25","10.99",,
"57","BM2PCHKBDRPNK","Check border - Pink - Bath Mat and Pedestal Set (BT1113D)","Bath - Mats","THREEANG","GBP","4.56","10.27","11.41","15.97","11.99","5.11","12.78","14.05","19.16","15.99",,
"58","BMPCHKBDRPNK","Check Border - Pink - Pedestal Mat (BT1113B)","Bath - Mats","THREEANG","GBP","2.2","4.95","5.5","7.7","4.99","2.46","6.16","6.77","9.24","6.99",,
"59","BMSCHKBDRPNK","Check Border - Pink - Shower Mat (BT1113C)","Bath - Mats","THREEANG","GBP","2.11","4.74","5.27","7.37","4.99","2.36","5.9","6.49","8.85","6.99",,
"60","BMCHKBDRRED","Shower Mats Bath & Pedestal Set Non Slip Soft 100% Cotton Washable Check Border","Default",,"GBP","3.37","7.58","8.42","11.79","7.99","3.77","9.43","10.38","14.15","10.99",,
"61","BM2PCHKBDRRED","Check border - Red - Bath Mat and Pedestal Set (BT1114D)","Bath - Mats","THREEANG","GBP","4.68","10.53","11.7","16.38","11.99","5.24","13.1","14.41","19.66","15.99",,
"62","BMPCHKBDRRED","Check Border - Red - Pedestal Mat (BT1114B)","Bath - Mats","THREEANG","GBP","2.22","5","5.56","7.78","4.99","2.49","6.22","6.85","9.34","6.99",,
"63","BMSCHKBDRRED","Check Border - Red - Shower Mat (BT1114C)","Bath - Mats","THREEANG","GBP","2.11","4.74","5.27","7.37","4.99","2.36","5.9","6.49","8.85","6.99",,
"64","BMCHKBDRTEA","Check Border - Teal - Bath Mat - 45x75cm (BT1115A)","Bath - Mats","THREEANG","GBP","3.51","7.9","8.78","12.29","7.99","3.93","9.83","10.81","14.74","10.99",,
"65","BM2PCHKBDRTEA","Check border - Teal - Bath Mat and Pedestal Set (BT1115D)","Bath - Mats","THREEANG","GBP","4.68","10.53","11.7","16.38","11.99","5.24","13.1","14.41","19.66","15.99",,
"66","BMPCHKBDRTEA","Check Border - Teal - Pedestal Mat (BT1115B)","Bath - Mats","THREEANG","GBP","1.81","4.08","4.53","6.35","4.99","2.03","5.08","5.59","7.62","6.99",,
"67","BMSCHKBDRTEA","Check Border - Teal - Shower Mat (BT1115C)","Bath - Mats","THREEANG","GBP","2.34","5.27","5.85","8.19","4.99","2.62","6.55","7.21","9.83","6.99",,
"68","BMCHKBDRTRQ","Check Border - Turquoise - Bath Mat - 45x75cm (BT1116A)","Bath - Mats","THREEANG","GBP","3.39","7.63","8.48","11.88","7.99","3.8","9.5","10.45","14.25","10.99",,
"69","BM2PCHKBDRTRQ","Check border - Turquoise - Bath Mat and Pedestal Set (BT1116D)","Bath - Mats","THREEANG","GBP","4.56","10.27","11.41","15.97","11.99","5.11","12.78","14.05","19.16","15.99",,
"70","BMPCHKBDRTRQ","Check Border - Turquoise - Pedestal Mat (BT1116B)","Bath - Mats","THREEANG","GBP","2.22","5","5.56","7.78","4.99","2.49","6.22","6.85","9.34","6.99",,
"71","BMSCHKBDRTRQ","Check Border - Turquoise - Shower Mat (BT1116C)","Bath - Mats","THREEANG","GBP","2.34","5.27","5.85","8.19","4.99","2.62","6.55","7.21","9.83","6.99",,
"72","BMCHKBDRWHI","Check Border - White - Bath Mat - 45x75cm (BT1117A)","Bath - Mats","THREEANG","GBP","0","0","0","0","7.99","0","0","0","0","10.99",,
"73","BM2PCHKBDRWHI","Check border - White - Bath Mat and Pedestal Set (BT1117D)","Bath - Mats","THREEANG","GBP","4.68","10.53","11.7","16.38","11.99","5.24","13.1","14.41","19.66","15.99",,
"74","BMPCHKBDRWHI","Check Border - White - Pedestal Mat (BT1117B)","Bath - Mats","THREEANG","GBP","1.99","4.48","4.97","6.96","4.99","2.23","5.57","6.13","8.35","6.99",,
"75","BMSCHKBDRWHI","Check Border - White - Shower Mat (BT1117C)","Bath - Mats","THREEANG","GBP","2.11","4.74","5.27","7.37","4.99","2.36","5.9","6.49","8.85","6.99",,
"76","BMCHENUNIONBEIGE","Union Jack Flag Rug Cotton Washable Tufted Plain Embossed Mat Mink Beige Cream","Default",,"GBP","0","0","0","0","29.99","0","0","0","0","39.99",,
"77","BMCHENUNIONBEIGE50","Chenille - Union Jack - Beige - Bath Mat - 50 x 80 cm (RU1176A)","Bath - Mats","THREEANG","GBP","3.92","8.82","9.8","13.72","9.99","4.39","10.97","12.07","16.46","14.99",,
"78","BMCHENUNIONGREY","Union Jack Flag Rug Cotton Washable Tufted Plain Embossed Mat Silver Grey ","Default",,"GBP","0","0","0","0","29.99","0","0","0","0","39.99",,
"79","BMCHENUNIONGREY50","Chenille - Union Jack - Grey - Bath Mat - 50 x 80 cm (RU1178A)","Bath - Mats","THREEANG","GBP","4.45","10","11.12","15.56","9.99","4.98","12.45","13.69","18.67","14.99",,
"80","BMCHENUNIONOFFWHI","Chenille - Union Jack - Off White - 90 x 150 cm (RU1175B)","Bath - Mats","THREEANG","GBP","13.46","30.27","33.64","47.09","29.99","15.07","37.67","41.44","56.51","39.99",,
"81","BMCHENUNIONOFFWHI50","Chenille - Union Jack - Off White - Bath Mat - 50 x 80 (RU1175A)","Bath - Mats","THREEANG","GBP","4.45","10","11.12","15.56","9.99","4.98","12.45","13.69","18.67","14.99",,
"82","BMCHENUNIONSAGE","Chenille - Union Jack - Sage Green - 90 x 150 cm (RU1177B)","Bath - Mats","THREEANG","GBP","13.46","30.27","33.64","47.09","29.99","15.07","37.67","41.44","56.51","39.99",,
"83","BMCHENUNIONSAGE50","Union Jack Flag Rug Cotton Washable Tufted Plain Embossed Mat Sage Green ","Default",,"GBP","4.45","10","11.12","15.56","9.99","4.98","12.45","13.69","18.67","14.99",,
"84","BM011A1","Damask - Beige - Bath Mat - 50x80cm (BT1133A)","Bath - Mats","THREEANG","GBP","4.21","9.48","10.53","14.74","11.99","4.72","11.79","12.97","17.69","15.99",,
"85","BM011A-SET","Beige Damask Bath Mat Pedestal Mat Non Slip Cotton Bathroom Mat Sets Rugs","Bath - Mats",,"GBP","6.96","15.66","17.4","24.37","16.99","7.8","19.49","21.44","29.24","21.99",,
"86","BM011A2","Damask - Beige - Pedestal Mat (BT1133B)","Bath - Mats","THREEANG","GBP","3.16","7.11","7.9","11.06","6.99","3.54","8.85","9.73","13.27","9.99",,
"87","BM011C1","Damask - Black - Bath Mat - 50x80cm (BT1134A)","Bath - Mats","THREEANG","GBP","4.97","11.19","12.43","17.4","11.99","5.57","13.92","15.32","20.88","15.99",,
"88","BM011C-SET","Damask - Black - Bath Mat and Pedestal Set (BT1134C)","Bath - Mats","THREEANG","GBP","6.26","14.08","15.65","21.91","16.99","7.01","17.53","19.28","26.29","21.99",,
"89","BM011C2","Damask - Black - Pedestal Mat (BT1134B)","Bath - Mats","THREEANG","GBP","3.16","7.11","7.9","11.06","6.99","3.54","8.85","9.73","13.27","9.99",,
"90","BM011B1","Damask - Blue - Bath Mat - 50x80cm (BT1135A)","Bath - Mats","THREEANG","GBP","4.97","11.19","12.43","17.4","11.99","5.57","13.92","15.32","20.88","15.99",,
"91","BM011B-SET","Damask - Blue - Bath Mat and Pedestal Set (BT1135C)","Bath - Mats","THREEANG","GBP","8.72","19.61","21.79","30.51","16.99","9.76","24.41","26.85","36.61","21.99",,
"92","BM011B2","Bath - Mats","Bath - Mats",,"GBP","3.16","7.11","7.9","11.06","6.99","3.54","8.85","9.73","13.27","9.99",,
"93","LRGCOTT2PCAQUA","Large Cotton - Aqua - 2 Piece Bath Mat Set (BT1181)","Bath - Mats","HARWOODS","GBP","4.65","9.3","11.63","13.95","9.99","5.21","11.72","14.32","16.93","12.99",,
"94","LRGCOTT2PCAUB","Large Cotton - Aubergine - 2 Piece Bath Mat Set (BT1187)","Bath - Mats","HARWOODS","GBP","4.65","9.3","11.63","13.95","9.99","5.21","11.72","14.32","16.93","12.99",,
"95","LRGCOTT2PCBEIGE","Large Cotton - Beige - 2 Piece Bath Mat Set (BT1183)","Bath - Mats","HARWOODS","GBP","4.65","9.3","11.63","13.95","9.99","5.21","11.72","14.32","16.93","12.99",,
"96","LRGCOTT2PCBLK","Large Cotton - Black - 2 Piece Bath Mat Set (BT1201)","Bath - Mats","HARWOODS","GBP","4.65","9.3","11.63","13.95","9.99","5.21","11.72","14.32","16.93","12.99",,
"97","LRGCOTT2PCBOT","Large Cotton - Bottle Green - 2 Piece Bath Mat Set (BT1177)","Bath - Mats","HARWOODS","GBP","4.65","9.3","11.63","13.95","9.99","5.21","11.72","14.32","16.93","12.99",,
"98","LRGCOTT2PCBURG","Shower Mats Bath & Pedestal Mats Set Non Slip Super Soft 100% Cotton Washable","Default",,"GBP","4.65","9.3","11.63","13.95","9.99","5.21","11.72","14.32","16.93","12.99",,
"99","LRGCOTT2PCCHOC","Large Cotton - Chocolate - 2 Piece Bath Mat Set (BT1185)","Bath - Mats","HARWOODS","GBP","4.65","9.3","11.63","13.95","9.99","5.21","11.72","14.32","16.93","12.99",,
"100","LRGCOTT2PCCOB","Large Cotton - Cobolt Blue - 2 Piece Bath Mat Set (BT1175)","Bath - Mats","HARWOODS","GBP","4.65","9.3","11.63","13.95","9.99","5.21","11.72","14.32","16.93","12.99",,
"101","LRGCOTT2PCCRM","Large Cotton - Cream - 2 Piece Bath Mat Set (BT1178)","Bath - Mats","HARWOODS","GBP","4.65","9.3","11.63","13.95","9.99","5.21","11.72","14.32","16.93","12.99",,
"102","LRGCOTT2PCGRY","Large Cotton - Grey - 2 Piece Bath Mat Set (BT1186)","Bath - Mats","HARWOODS","GBP","4.65","9.3","11.63","13.95","9.99","5.21","11.72","14.32","16.93","12.99",,
"103","LRGCOTT2PCLIL","Large Cotton - Lilac - 2 Piece Bath Mat Set (BT1184)","Bath - Mats","HARWOODS","GBP","4.65","9.3","11.63","13.95","9.99","5.21","11.72","14.32","16.93","12.99",,
"104","LRGCOTT2PCNAV","Large Cotton - Navy - 2 Piece Bath Mat Set (BT1180)","Bath - Mats","HARWOODS","GBP","4.65","9.3","11.63","13.95","9.99","5.21","11.72","14.32","16.93","12.99",,
"105","LRGCOTT2PCPEACH","Large Cotton - Peach - 2 Piece Bath Mat Set (BT1176)","Bath - Mats","HARWOODS","GBP","4.65","9.3","11.63","13.95","9.99","5.21","11.72","14.32","16.93","12.99",,
"106","LRGCOTT2PCPNK","Large Cotton - Pink - 2 Piece Bath Mat Set (BT1179)","Bath - Mats","HARWOODS","GBP","4.65","9.3","11.63","13.95","9.99","5.21","11.72","14.32","16.93","12.99",,
"107","LRGCOTT2PCRASP","Large Cotton - Raspberry - 2 Piece Bath Mat Set (BT1214)","Bath - Mats","HARWOODS","GBP","4.65","9.3","11.63","13.95","9.99","5.21","11.72","14.32","16.93","12.99",,
"108","LRGCOTT2PCGRN","Large Cotton - Sage - 2 Piece Bath Mat Set (BT1174)","Bath - Mats","HARWOODS","GBP","4.65","9.3","11.63","13.95","9.99","5.21","11.72","14.32","16.93","12.99",,
"109","LRGCOTT2PCWHT","Large Cotton - White - 2 Piece Bath Mat Set (BT1173)","Bath - Mats","HARWOODS","GBP","4.65","9.3","11.63","13.95","9.99","5.21","11.72","14.32","16.93","12.99",,
"110","BMBIRDSHEART","Novelty - Birds & Love Heart - Bath Mat (RU1180)","Bath - Mats","THREEANG","GBP","4.56","10.27","11.41","15.97","9.99","5.11","12.78","14.05","19.16","12.99",,
"111","BMBLUFISH","Novelty - Blue Fish - Bath Mat (RU1187)","Bath - Mats","THREEANG","GBP","2.81","6.32","7.02","9.83","9.99","3.14","7.86","8.65","11.79","12.99",,
"112","BMBUTTERFLYPUR","Novelty - Butterfly Shape - Purple Orange - Bath Mat (RU1184)","Bath - Mats","THREEANG","GBP","3.28","7.37","8.19","11.47","9.99","3.67","9.17","10.09","13.76","12.99",,
"113","BMBUTTERFLYS","Homescapes Cotton Washable Childrens Rugs/Bath Mats - Girls Boys Kids Blue Pink","Default",,"GBP","4.33","9.74","10.82","15.15","9.99","4.85","12.12","13.33","18.18","12.99",,
"114","BMDOLPHINS","Novelty - Dolphins - Bath Mat (RU1182)","Bath - Mats","THREEANG","GBP","4.56","10.27","11.41","15.97","9.99","5.11","12.78","14.05","19.16","12.99",,
"115","BM008A1","Novelty - Duck Pond - Bath Mat - 45 x 75cm (BT1143A)","Bath - Mats","THREEANG","GBP","3.04","6.84","7.61","10.65","9.99","3.41","8.52","9.37","12.78","12.99",,
"116","BM008A-SET","Novelty - Duck Pond - Bath Mat and Pedestal Set (BT1143D)","Bath - Mats","THREEANG","GBP","4.45","10","11.12","15.56","12.99","4.98","12.45","13.69","18.67","16.99",,
"117","BM008A3","Homescapes Cotton Duck Pond Bath Mat Blue Yellow Non Slip Bath Mat Sets Bath Rug","Default",,"GBP","0","0","0","0","12.99","0","0","0","0","16.99",,
"118","BM008A2","Novelty - Duck Pond - Pedestal Mat (BT1143B)","Bath - Mats","THREEANG","GBP","2.11","4.74","5.27","7.37","5.99","2.36","5.9","6.49","8.85","7.99",,
"119","BMELEPHANTBLU","Novelty - Elephant Blue - Bath Mat (RU1185)","Bath - Mats","THREEANG","GBP","3.8","8.56","9.51","13.31","9.99","4.26","10.65","11.71","15.97","12.99",,
"120","BMFLOWERMULTI","Novelty - Flowers - Multi Coloured - Bath Mat (RU1179)","Bath - Mats","THREEANG","GBP","3.39","7.63","8.48","11.88","9.99","3.8","9.5","10.45","14.25","12.99",,
"121","BMFBPITCH","Novelty - Football Pitch - Bath Mat (RU1183)","Bath - Mats","THREEANG","GBP","4.97","11.19","12.43","17.4","12.99","5.57","13.92","15.32","20.88","16.99",,
"122","BMFOOTBALL","Novelty - Football ROUND - Bath Mat (RU1192)","Bath - Mats","THREEANG","GBP","3.92","8.82","9.8","13.72","9.99","4.39","10.97","12.07","16.46","12.99",,
"123","BMBIRDGRN","Novelty - Green Bird - Bath Mat (RU1181)","Bath - Mats","THREEANG","GBP","3.16","7.11","7.9","11.06","9.99","3.54","8.85","9.73","13.27","12.99",,
"124","BMHIPPO","Novelty - Hippo - Bath Mat (RU1189)","Bath - Mats","THREEANG","GBP","3.92","8.82","9.8","13.72","9.99","4.39","10.97","12.07","16.46","12.99",,
"125","BMOWL","Novelty - Owl - Bath Mat (RU1186)","Bath - Mats","THREEANG","GBP","4.97","11.19","12.43","17.4","9.99","5.57","13.92","15.32","20.88","14.99",,
"126","BMELEPHANTPNK","Novelty - Pink Elephant - Bath Mat (RU1190)","Bath - Mats","THREEANG","GBP","3.92","8.82","9.8","13.72","9.99","4.39","10.97","12.07","16.46","12.99",,
"127","BM007A1","Novelty - Rubber Duck - Bath Mat - 45x75cm (BT1147)","Bath - Mats","THREEANG","GBP","2.75","6.19","6.87","9.62","7.99","3.08","7.7","8.47","11.55","16.99",,
"128","BMUNIONJK","Novelty - Union Jack - Bath Mat (BT1171)","Bath - Mats","THREEANG","GBP","2.87","6.45","7.17","10.03","9.99","3.21","8.03","8.83","12.04","12.99",,
"129","BMUSA","Novelty - USA Flag - Bath Mat (BT1170)","Bath - Mats","THREEANG","GBP","3.63","8.16","9.07","12.69","9.99","4.06","10.16","11.17","15.23","12.99",,
"130","BMSPABLK","Spa Supreme - Black - Bath Mat - 50x80cm (BT1151A)","Bath - Mats","THREEANG","GBP","4.68","10.53","11.7","16.38","10.99","5.24","13.1","14.41","19.66","14.99",,
"131","BM2PSPABLK","Spa Supreme - Black - Bath Mat and Pedestal Set (BT1151C)","Bath - Mats","THREEANG","GBP","7.61","17.11","19.01","26.62","16.99","8.52","21.29","23.42","31.94","22.99",,
"132","BMPSPABLK","Spa Supreme - Black - Pedestal Mat (BT1151B)","Bath - Mats","THREEANG","GBP","2.69","6.05","6.73","9.42","7.99","3.01","7.53","8.29","11.3","9.99",,
"133","BMSPABLU","Spa Supreme - Blue - Bath Mat - 50x80cm (BT1152A)","Bath - Mats","THREEANG","GBP","3.98","8.95","9.95","13.92","10.99","4.46","11.14","12.25","16.71","14.99",,
"134","BM2PSPABLU","Spa Supreme - Blue - Bath Mat and Pedestal Set (BT1152C)","Bath - Mats","THREEANG","GBP","6.9","15.53","17.26","24.16","16.99","7.73","19.33","21.26","28.99","22.99",,
"135","BMPSPABLU","Bath - Mats","Bath - Mats",,"GBP","0","0","0","0","7.99","0","0","0","0","9.99",,
"136","BMSPACHO","Spa Supreme - Chocolate - Bath Mat - 50x80cm (BT1153A)","Bath - Mats","THREEANG","GBP","4.33","9.74","10.82","15.15","10.99","4.85","12.12","13.33","18.18","14.99",,
"137","BM2PSPACHO","Spa Supreme - Chocolate - Bath Mat and Pedestal Set (BT1153C)","Bath - Mats","THREEANG","GBP","6.9","15.53","17.26","24.16","16.99","7.73","19.33","21.26","28.99","22.99",,
