id,amazon_sku,channel_id,linnworks_code,price_uk,sale_price_uk,price_fr,sale_price_fr,price_de,sale_price_de,price_es,sale_price_es,price_ebay,sale_price_ebay,price_cdiscount,sale_price_cdiscount,prime_date,error
22459,CURMULTISTR54,2,CURMULTISTR54,,,34.99,28.99,34.99,28.99,,,,,,,NULL,NULL
22460,CURMULTISTR54.2,2,CURMULTISTR54,,,34.99,28.99,,,,,,,,,NULL,NULL
22461,CURMULTISTR54.4,2,CURMULTISTR54,,,34.99,28.99,,,,,,,,,NULL,NULL
22462,CURMULTSTRI72.4,2,CURMULTSTRI72,,,65.99,34.99,,,,,,,,,NULL,NULL
22463,CURMULTSTRI90,2,CURMULTSTRI90,,,69.99,42.99,69.99,42.99,,,,,,,NULL,NULL
22464,CURMULTSTRI90.2,2,CURMULTSTRI90,,,69.99,42.99,,,,,,,,,NULL,NULL
22465,CURMULTSTRI90.6,2,CURMULTSTRI90,,,69.99,42.99,,,,,,,,,NULL,NULL
22466,CURNEWENG54,2,CURNEWENG54,,,34.99,28.99,34.99,28.99,,,,,,,NULL,NULL
22467,CURNEWENG54.2,2,CURNEWENG54,,,34.99,28.99,,,,,,,,,NULL,NULL
22468,CURNEWENG54.4,2,CURNEWENG54,,,34.99,28.99,,,,,,,,,NULL,NULL
22469,CURNEWENG72.2,2,CURNEWENG72,,,65.99,34.99,,,,,,,,,NULL,NULL
22470,CURNEWENG90,2,CURNEWENG90,,,69.99,42.99,69.99,42.99,,,,,,,NULL,NULL
22471,CURNEWENG90.2,2,CURNEWENG90,,,69.99,42.99,,,,,,,,,NULL,NULL
22472,CURNEWENG90.4,2,CURNEWENG90,,,69.99,42.99,,,,,,,,,NULL,NULL
22473,CUROSAKA54,2,CUROSAKA54,,,34.99,28.99,34.99,28.99,,,,,,,NULL,NULL
22474,CUROSAKA54.2,2,CUROSAKA54,,,34.99,28.99,,,,,,,,,NULL,NULL
22475,CUROSAKA54.4,2,CUROSAKA54,,,34.99,28.99,,,,,,,,,NULL,NULL
22476,CUROSAKA72.2,2,CUROSAKA72,,,65.99,34.99,,,,,,,,,NULL,NULL
22477,CUROSAKA90,2,CUROSAKA90,,,69.99,42.99,69.99,42.99,,,,,,,NULL,NULL
22478,CUROSAKA90.2,2,CUROSAKA90,,,69.99,42.99,,,,,,,,,NULL,NULL
22479,CUROSAKA90.4,2,CUROSAKA90,,,69.99,42.99,,,,,,,,,NULL,NULL
22480,CUROWL137,2,CUROWL137,,,38.99,25.99,38.99,25.99,,,,,,,NULL,NULL
22481,CUROWL182,2,CUROWL182,,,51.99,32.99,51.99,32.99,,,,,,,NULL,NULL
22482,CUROWL228,2,CUROWL228,,,64.99,38.99,64.99,38.99,,,,,,,NULL,NULL
22483,CURPOLKBLU137,2,CURPOLKBLU137,,,38.99,25.99,38.99,25.99,,,,,,,NULL,NULL
22484,CURPOLKBLU182,2,CURPOLKBLU182,,,51.99,32.99,51.99,32.99,,,,,,,NULL,NULL
22485,CURPOLKBLU228,2,CURPOLKBLU228,,,64.99,38.99,64.99,38.99,,,,,,,NULL,NULL
22486,CURPOLKMULT137,2,CURPOLKMULT137,,,38.99,25.99,38.99,25.99,,,,,,,NULL,NULL
22487,CURPOLKMULT182,2,CURPOLKMULT182,,,51.99,32.99,51.99,32.99,,,,,,,NULL,NULL
22488,CURPOLKMULT228,2,CURPOLKMULT228,,,64.99,38.99,64.99,38.99,,,,,,,NULL,NULL
22489,CURPOLKPNK137,2,CURPOLKPNK137,,,38.99,25.99,38.99,25.99,,,,,,,NULL,NULL
22490,CURPOLKPNK182,2,CURPOLKPNK182,,,51.99,32.99,51.99,32.99,,,,,,,NULL,NULL
22491,CURPOLKPNK228,2,CURPOLKPNK228,,,64.99,38.99,64.99,38.99,,,,,,,NULL,NULL
22492,CURPOLKRED137,2,CURPOLKRED137,,,38.99,25.99,38.99,25.99,,,,,,,NULL,NULL
22493,CURPOLKRED182,2,CURPOLKRED182,,,51.99,32.99,51.99,32.99,,,,,,,NULL,NULL
22494,CURPOLKRED228,2,CURPOLKRED228,,,64.99,38.99,64.99,38.99,,,,,,,NULL,NULL
22495,CURRETFLOW137,2,CURRETFLOW137,,,38.99,25.99,38.99,25.99,,,,,,,NULL,NULL
22496,CURRETFLOW182,2,CURRETFLOW182,,,51.99,32.99,51.99,32.99,,,,,,,NULL,NULL
22497,CURRETFLOW228,2,CURRETFLOW228,,,64.99,38.99,64.99,38.99,,,,,,,NULL,NULL
22498,CURROSARIOBLOCKREDBLU-4554.4,2,CURROSARIOBLOCKREDBLU-4554,,,69.99,44.99,,,,,,,,,NULL,NULL
22499,CURROSARIOBLOCKREDBLU-4672.4,2,CURROSARIOBLOCKREDBLU-4672,,,84.99,59.99,,,,,,,,,NULL,NULL
22500,CURROSARIOBLOCKREDBLU-4690.4,2,CURROSARIOBLOCKREDBLU-4690,,,99.99,74.99,,,,,,,,,NULL,NULL
22501,CURROSARIOBLOCKREDBLU-6654.4,2,CURROSARIOBLOCKREDBLU-6654,,,99.99,74.99,,,,,,,,,NULL,NULL
22502,CURROSARIOBLOCKREDBLU-6672.4,2,CURROSARIOBLOCKREDBLU-6672,,,129.99,89.99,,,,,,,,,NULL,NULL
22503,CURROSARIOBLOCKREDBLU-6690.4,2,CURROSARIOBLOCKREDBLU-6690,,,149.99,109.99,,,,,,,,,NULL,NULL
22504,CURROSARIOBLOCKREDBLU-9054.4,2,CURROSARIOBLOCKREDBLU-9054,,,149.99,109.99,,,,,,,,,NULL,NULL
22505,CURROSARIOBLOCKREDBLU-9072.4,2,CURROSARIOBLOCKREDBLU-9072,,,164.99,119.99,,,,,,,,,NULL,NULL
22506,CURROSARIOBLOCKREDBLU-9090.4,2,CURROSARIOBLOCKREDBLU-9090,,,179.99,134.99,,,,,,,,,NULL,NULL
22507,CURROSARIODMNDGRY-4554.4,2,CURROSARIODMNDGRY-4554,,,69.99,44.99,,,,,,,,,NULL,NULL
22508,CURROSARIODMNDGRY-4672.4,2,CURROSARIODMNDGRY-4672,,,84.99,59.99,,,,,,,,,NULL,NULL
22509,CURROSARIODMNDGRY-4690.4,2,CURROSARIODMNDGRY-4690,,,99.99,74.99,,,,,,,,,NULL,NULL
22510,CURROSARIODMNDGRY-6654.4,2,CURROSARIODMNDGRY-6654,,,99.99,74.99,,,,,,,,,NULL,NULL
22511,CURROSARIODMNDGRY-6672.4,2,CURROSARIODMNDGRY-6672,,,129.99,89.99,,,,,,,,,NULL,NULL
22512,CURROSARIODMNDGRY-6690.4,2,CURROSARIODMNDGRY-6690,,,149.99,109.99,,,,,,,,,NULL,NULL
22513,CURROSARIODMNDGRY-9054.4,2,CURROSARIODMNDGRY-9054,,,149.99,109.99,,,,,,,,,NULL,NULL
22514,CURROSARIODMNDGRY-9072.4,2,CURROSARIODMNDGRY-9072,,,164.99,119.99,,,,,,,,,NULL,NULL
22515,CURROSARIODMNDGRY-9090.4,2,CURROSARIODMNDGRY-9090,,,179.99,134.99,,,,,,,,,NULL,NULL
22516,CURSOLIDBEI137,2,CURSOLIDBEI137,,,38.99,25.99,45.99,29.99,,,,,,,NULL,NULL
22517,CURSOLIDBEI182,2,CURSOLIDBEI182,,,51.99,32.99,59.99,39.99,,,,,,,NULL,NULL
22518,CURSOLIDBEI228,2,CURSOLIDBEI228,,,64.99,38.99,75.99,49.99,,,,,,,NULL,NULL
22519,CURSOLIDBLK137,2,CURSOLIDBLK137,,,38.99,25.99,45.99,29.99,,,,,,,NULL,NULL
22520,CURSOLIDBLK182,2,CURSOLIDBLK182,,,51.99,32.99,59.99,39.99,,,,,,,NULL,NULL
22521,CURSOLIDBLK228,2,CURSOLIDBLK228,,,64.99,38.99,75.99,49.99,,,,,,,NULL,NULL
22522,CURSOLIDBLU137,2,CURSOLIDBLU137,,,38.99,25.99,45.99,29.99,,,,,,,NULL,NULL
22523,CURSOLIDBLU182,2,CURSOLIDBLU182,,,51.99,32.99,59.99,39.99,,,,,,,NULL,NULL
22524,CURSOLIDBLU228,2,CURSOLIDBLU228,,,64.99,38.99,75.99,49.99,,,,,,,NULL,NULL
22525,CURSOLIDCHO137,2,CURSOLIDCHO137,,,38.99,25.99,45.99,29.99,,,,,,,NULL,NULL
22526,CURSOLIDCHO182,2,CURSOLIDCHO182,,,51.99,32.99,59.99,39.99,,,,,,,NULL,NULL
22527,CURSOLIDCHO228,2,CURSOLIDCHO228,,,64.99,38.99,75.99,49.99,,,,,,,NULL,NULL
22528,CURSOLIDGRN137,2,CURSOLIDGRN137,,,38.99,25.99,45.99,29.99,,,,,,,NULL,NULL
22529,CURSOLIDGRN182,2,CURSOLIDGRN182,,,51.99,32.99,59.99,39.99,,,,,,,NULL,NULL
22530,CURSOLIDGRN228,2,CURSOLIDGRN228,,,64.99,38.99,75.99,49.99,,,,,,,NULL,NULL
22531,CURSOLIDGRY137,2,CURSOLIDGRY137,,,38.99,25.99,45.99,29.99,,,,,,,NULL,NULL
22532,CURSOLIDGRY182,2,CURSOLIDGRY182,,,51.99,32.99,59.99,39.99,,,,,,,NULL,NULL
22533,CURSOLIDGRY228,2,CURSOLIDGRY228,,,64.99,38.99,75.99,49.99,,,,,,,NULL,NULL
22534,CURSOLIDHOTPNK137,2,CURSOLIDHOTPNK137,,,38.99,25.99,45.99,29.99,,,,,,,NULL,NULL
22535,CURSOLIDHOTPNK182,2,CURSOLIDHOTPNK182,,,51.99,32.99,59.99,39.99,,,,,,,NULL,NULL
22536,CURSOLIDHOTPNK228,2,CURSOLIDHOTPNK228,,,64.99,38.99,75.99,49.99,,,,,,,NULL,NULL
22537,CURSOLIDMAU137,2,CURSOLIDMAU137,,,38.99,25.99,45.99,29.99,,,,,,,NULL,NULL
22538,CURSOLIDMAU182,2,CURSOLIDMAU182,,,51.99,32.99,59.99,39.99,,,,,,,NULL,NULL
22539,CURSOLIDMAU228,2,CURSOLIDMAU228,,,64.99,38.99,75.99,49.99,,,,,,,NULL,NULL
