id,item_number,item_title,barcode_number,category_name,supp_name,supp_id,heights,widths,depths,weights
2027,CUPOLKAMULTI4545,Polka - Multi Colour - FILLED Cushion  - 45 x 45 cm (KT1358E),5.05597E+12,Cushion - Decorative,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,0,0,0,640
2028,CUPOLKAMULTI6060,Polka - Multi Colour - FILLED Cushion  - 60 x 60 cm (KT1358D),5.05597E+12,Cushion - Decorative,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,0,0,0,1130
2029,CUPOLKAPNK3030,Polka - Pink - FILLED Cushion  - 30 x 30 cm (KT1363A),5.05597E+12,Cushion - Decorative,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,0,0,0,250
2030,CUPOLKAPNK3050,Polka - Pink - FILLED Cushion  - 30 x 50 cm (KT1363C),5.05597E+12,Cushion - Decorative,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,0,0,0,415
2031,CUPOLKAPNK4545,Polka - Pink - FILLED Cushion  - 45 x 45 cm (KT1363E),5.05597E+12,Cushion - Decorative,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,0,0,0,640
2032,CUPOLKAPNK6060,Polka - Pink - FILLED Cushion  - 60 x 60 cm (KT1363D),5.05597E+12,Cushion - Decorative,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,0,0,0,1130
2033,CUPOLKARED3030,Polka - Red - FILLED Cushion  - 30 x 30 cm (KT1364A),5.05597E+12,Cushion - Decorative,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,0,0,0,250
2034,CUPOLKARED3050,Polka - Red - FILLED Cushion  - 30 x 50 cm (KT1364C),5.05597E+12,Cushion - Decorative,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,0,0,0,415
2035,CUPOLKARED4545,Polka - Red - FILLED Cushion  - 45 x 45 cm (KT1364E),5.05597E+12,Cushion - Decorative,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,0,0,0,640
2036,CUPOLKARED6060,Polka - Red - FILLED Cushion  - 60 x 60 cm (KT1364D),5.05597E+12,Cushion - Decorative,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,0,0,0,1130
2037,CURBIRFLOW137,Birds and Flowers - Curtain - Pair - 117 x 137 cm (KT1392A),5.05597E+12,Curtains,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,5,30,34,1300
2038,CURBIRFLOW182,Birds and Flowers - Curtain - Pair - 137 x 182 cm (KT1392B),5.05597E+12,Curtains,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,5,30,36,1600
2039,CURBIRFLOW228,Birds and Flowers - Curtain - Pair - 137 x 228 cm (KT1392C),5.05597E+12,Curtains,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,7,30,38,2000
2040,CURBLKCHKBLU54S,Block Check - Blue - Curtain - Pair - 46 x 54 (KT1409A),5.05597E+12,Curtains,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,5,30,34,1300
2041,CURBLKCHKBLU72S,Block Check - Blue - Curtain - Pair - 54 x 72 (KT1409B),5.05597E+12,Curtains,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,5,30,36,1600
2042,CURBLKCHKBLU90S,Block Check - Blue - Curtain - Pair - 54 x 90 (KT1409C),5.05597E+12,Curtains,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,7,30,38,2000
2043,CURBLKCHKGRN54S,Block Check - Green - Curtain - Pair - 46 x 54 (KT1411A),5.05597E+12,Curtains,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,5,30,34,1300
