"id","web_sku","linnworks_code","web_price_uk","web_sale_price_uk","web_price_fr","web_sale_price_fr","web_price_de","web_sale_price_de","web_price_dm","web_sale_price_dm","web_price_tesco","web_sale_price_tesco"
"8993","AP1355","FL13109C","8.99","8.99","11.99","11.99","11.99","11.99","12.99","12.99",,"12.99"
"8994","AP1365","FL13157A","5.99","5.99","7.99","7.99","7.99","7.99","9.99","9.99",,"9.99"
"8995","AP1366","FL13157B","5.99","5.99","7.99","7.99","7.99","7.99","9.99","9.99",,"9.99"
"8996","AP1367","FL13157C","5.99","5.99","7.99","7.99","7.99","7.99","9.99","9.99",,"9.99"
"8997","AP1368","FL13170A","6.99","6.99","9.99","9.99","9.99","9.99","10.99","10.99",,"10.99"
"8998","AP1369","FL13170B","6.99","6.99","9.99","9.99","9.99","9.99","10.99","10.99",,"10.99"
"8999","AP1370","FL13170C","6.99","6.99","9.99","9.99","9.99","9.99","10.99","10.99",,"10.99"
"9000","AP1371","FL13174A","9.99","9.99","12.99","12.99","12.99","12.99","13.99","13.99",,"13.99"
"9001","AP1372","FL13174B","9.99","9.99","12.99","12.99","12.99","12.99","13.99","13.99",,"13.99"
"9002","AP1373","FL13174C","9.99","9.99","12.99","12.99","12.99","12.99","13.99","13.99",,"13.99"
"9003","AP1374","FL64057","59.99","59.99","79.99","79.99","79.99","79.99","64.90","64.90",,"64.90"
"9004","AP1375","FL64058","32.99","32.99","43.99","43.99","43.99","43.99","36.99","36.99",,"36.99"
"9005","AP1376","FL64059","22.99","22.99","29.99","29.99","29.99","29.99","26.99","26.99",,"26.99"
"9006","AP1377","FL64060","22.99","22.99","29.99","29.99","29.99","29.99","26.99","26.99",,"26.99"
"9007","AP1378","FL64061","26.99","26.99","35.99","35.99","35.99","35.99","30.99","30.99",,"30.99"
"9008","KT1622A","H-106801AQ","2.99","2.99","3.99","3.99","3.99","3.99","7.90","7.90",,"7.90"
"9009","KT1622B","H-106801BR","2.99","2.99","3.99","3.99","3.99","3.99","7.90","7.90",,"7.90"
"9010","KT1622C","H-106801GN","2.99","2.99","3.99","3.99","3.99","3.99","7.90","7.90",,"7.90"
"9011","KT1622D","H-106801GRY","2.99","2.99","3.99","3.99","3.99","3.99","7.90","7.90",,"7.90"
"9012","KT1622E","H-106801NV","2.99","2.99","3.99","3.99","3.99","3.99","7.90","7.90",,"7.90"
"9013","KT1622F","H-106801RD","2.99","2.99","3.99","3.99","3.99","3.99","7.90","7.90",,"7.90"
"9014","KT1622G","H-106801YE","2.99","2.99","3.99","3.99","3.99","3.99","7.90","7.90",,"7.90"
"9015","SF1932A","H-BLA04401","29.99","29.99","39.99","39.99","39.99","39.99","34.90","34.90",,"34.90"
"9016","SF1932B","H-BLA04402","39.99","39.99","52.99","52.99","52.99","52.99","44.90","44.90",,"44.90"
"9017","SF1933A","H-BLA04501","29.99","29.99","39.99","39.99","39.99","39.99","34.90","34.90",,"34.90"
"9018","SF1933B","H-BLA04502","39.99","39.99","52.99","52.99","52.99","52.99","44.90","44.90",,"44.90"
